Lon,Lat,RhoLM_in_situ,RhoLM_STP
107,31.25,3.2664514069385,3.382075461619
107.25,31.25,3.2805496051485,3.3964038151564
107.5,31.25,3.2767744488942,3.3925135784777
107.75,31.25,3.2665777630397,3.3823418611019
108,31.25,3.258875081493,3.3757579997802
108.25,31.25,3.2783495977143,3.3974765926573
108.5,31.25,3.3034404970187,3.424711383163
108.75,31.25,3.3101476286231,3.4328545730779
109,31.25,3.2740760439151,3.3966089526067
109.5,31.25,3.2657617943641,3.3848286096398
114,31.25,3.2329663565586,3.3326720330188
114.25,31.25,3.2310105518893,3.3309973540255
114.5,31.25,3.2404076614423,3.3421745345847
114.75,31.25,3.246284533407,3.3499570930826
115,31.25,3.2619143627415,3.3663811541021
115.25,31.25,3.2484699299058,3.3532079118072
115.5,31.25,3.2412132422574,3.3465718921507
115.75,31.25,3.2284057459715,3.3338043932973
116,31.25,3.2446689109426,3.3516127700986
116.25,31.25,3.2456678204456,3.3535300989603
116.5,31.25,3.2430771714549,3.351853140173
116.75,31.25,3.2529951268986,3.3630655552714
117,31.25,3.2478941629004,3.358593671584
117.25,31.25,3.2473464526561,3.3587079063415
117.5,31.25,3.2503608666057,3.3626014415726
117.75,31.25,3.2499075391485,3.3625723813903
118,31.25,3.2513972980697,3.3640096154725
118.25,31.25,3.249199175443,3.3614758618132
118.5,31.25,3.2435924248368,3.3550811626099
118.75,31.25,3.2447249175319,3.3558729927556
119,31.25,3.2467389951499,3.3582551249068
119.25,31.25,3.2415200724375,3.3530313130261
119.5,31.25,3.2418810404675,3.3537701310197
119.75,31.25,3.2356087897471,3.3477498487751
120,31.25,3.2442288913228,3.3569514181584
120.25,31.25,3.24579793346,3.3592948493049
120.5,31.25,3.2492342279941,3.363785628532
120.75,31.25,3.2524535713148,3.3679529962551
121,31.25,3.2564034740686,3.3721443879945
121.25,31.25,3.2609180684492,3.3764083060873
107,31.5,3.2660595227005,3.3774722067894
107.25,31.5,3.2692466259361,3.3811665213494
107.5,31.5,3.2757689991236,3.3890798819841
107.75,31.5,3.257601122884,3.3718835883319
108,31.5,3.2783717500711,3.3955673357894
108.25,31.5,3.2814564873024,3.401155080078
108.5,31.5,3.3029600582516,3.4260133328096
108.75,31.5,3.2522300671534,3.3756573998818
109,31.5,3.2954453412717,3.4194627148332
109.25,31.5,3.2907203398004,3.4157625959901
109.5,31.5,3.3112405424004,3.4380981438312
114,31.5,3.2326416630813,3.3324297712597
114.25,31.5,3.240258323549,3.3416711166359
114.5,31.5,3.2460306872992,3.3482328740709
114.75,31.5,3.249848548597,3.3540628901777
115,31.5,3.2349626935314,3.3390671854031
115.25,31.5,3.247487830604,3.3528979367561
115.5,31.5,3.2500303839591,3.3562357901773
115.75,31.5,3.2539274065271,3.3611748127491
116,31.5,3.2527358394964,3.3607883098866
116.25,31.5,3.2499757637258,3.3586662641217
116.5,31.5,3.248960446617,3.3585849045206
116.75,31.5,3.253999664453,3.3650060370866
117,31.5,3.2567577329415,3.3685604679269
117.25,31.5,3.2510276012378,3.3633290520913
117.5,31.5,3.2519022196396,3.3644834083415
117.75,31.5,3.2506610611637,3.3629991623254
118,31.5,3.2508037993714,3.3627417756688
118.25,31.5,3.2506131612064,3.3624547832878
118.5,31.5,3.2415703105767,3.3527682569066
118.75,31.5,3.2395110263572,3.3501254768863
119,31.5,3.2400556495991,3.3507465562599
119.25,31.5,3.2418147944965,3.352703464535
119.5,31.5,3.2435943760439,3.355046685005
119.75,31.5,3.2450453904951,3.3570836179518
120,31.5,3.2389112417324,3.3509512928897
120.25,31.5,3.2434139895627,3.3562406231567
120.5,31.5,3.2510798237083,3.3648997050242
120.75,31.5,3.2517582508572,3.366143082938
121,31.5,3.2539669648349,3.3685395570299
121.25,31.5,3.2527404628867,3.3668531273309
121.5,31.5,3.2505550634507,3.3648552076869
106.75,31.75,3.2664900732996,3.3734532031724
107,31.75,3.2712801633197,3.3794868448209
107.25,31.75,3.271018380195,3.3806636943077
107.5,31.75,3.2644424408678,3.3758397518809
107.75,31.75,3.2719024685151,3.3860054129128
108,31.75,3.3039705970545,3.4219536583329
108.25,31.75,3.3059584397181,3.4267513835534
108.5,31.75,3.2878913586388,3.4108154852986
108.75,31.75,3.2784603402462,3.4033843821976
109,31.75,3.2674410155073,3.3912186547744
109.25,31.75,3.2407529749332,3.3649786492262
109.5,31.75,3.2846120079007,3.4116776733441
112.5,31.75,3.2259970778275,3.3269486069197
113.75,31.75,3.2255015989098,3.325149277713
114,31.75,3.2218223594191,3.3214336370431
114.25,31.75,3.237167177929,3.3387800225385
114.5,31.75,3.2473728463947,3.3500803793583
114.75,31.75,3.2556242634278,3.3603961462553
115,31.75,3.261545745064,3.3670784863092
115.25,31.75,3.2467189283476,3.3525641802474
115.5,31.75,3.238316746591,3.3446652499434
115.75,31.75,3.2277275532352,3.3345973920641
116,31.75,3.2507567974088,3.3594402569016
116.25,31.75,3.2546281169919,3.3643930394069
116.5,31.75,3.2498834477208,3.3603210000776
116.75,31.75,3.2472038016108,3.3586313252784
117,31.75,3.2514556437486,3.364202184847
117.25,31.75,3.2565221149731,3.3700132740171
117.5,31.75,3.256948958132,3.3702835209204
117.75,31.75,3.255713814122,3.3682842288627
118,31.75,3.2504775079816,3.3622924099444
118.25,31.75,3.2504896779841,3.3622457045517
118.5,31.75,3.2419551702951,3.3532044539781
118.75,31.75,3.2411924680277,3.3519851960068
119,31.75,3.2429694949059,3.3534215293943
119.25,31.75,3.2426276161205,3.3532426600112
119.5,31.75,3.2420589291314,3.3532652832025
119.75,31.75,3.245509302127,3.3573802456323
120,31.75,3.2414688516467,3.3532634577458
120.25,31.75,3.2382860267682,3.3506037044503
120.5,31.75,3.2445416592351,3.3577217225007
120.75,31.75,3.2521776785307,3.366026719371
121,31.75,3.2507102009729,3.3647761574121
